Time v_x v_y v_z
0.777555 0.207374 10.716676 -0.769089
0.779559 0.232272 10.763741 -0.773778
0.781563 0.263890 10.790961 -0.759002
0.783567 0.261915 10.840640 -0.764437
0.785571 0.250810 10.839784 -0.757231
0.787575 0.235481 10.862803 -0.765504
0.789579 0.268032 10.895334 -0.789707
0.791583 0.259486 10.910759 -0.803959
0.793587 0.310023 10.913294 -0.795905
0.795591 0.334871 10.959768 -0.812974
0.797595 0.345574 10.947668 -0.819326
0.799599 0.379141 10.963874 -0.807882
0.801603 0.354709 10.961695 -0.788724
0.803607 0.383576 10.995224 -0.816019
0.805611 0.356129 11.005599 -0.815986
0.807615 0.354374 11.032846 -0.797603
0.809619 0.321586 11.103300 -0.822246
0.811623 0.372844 11.119185 -0.823939
0.813627 0.385683 11.116509 -0.812276
0.815631 0.408480 11.093013 -0.819920
0.817635 0.389119 11.110014 -0.806649
0.819639 0.376231 11.133983 -0.793116
0.821643 0.402433 11.127446 -0.760356
0.823647 0.402932 11.136985 -0.791036
0.825651 0.440557 11.153499 -0.784071
0.827655 0.418223 11.194308 -0.790759
0.829659 0.470221 11.225248 -0.775375
0.831663 0.487767 11.216487 -0.765131
0.833667 0.538946 11.235988 -0.778825
0.835671 0.539634 11.278039 -0.795286
0.837675 0.567785 11.289235 -0.839114
0.839679 0.530362 11.335331 -0.860960
0.841683 0.543700 11.363349 -0.866015
0.843687 0.513814 11.380541 -0.860571
0.845691 0.491651 11.378722 -0.866706
0.847695 0.510714 11.387239 -0.868230
0.849699 0.490017 11.437251 -0.823539
0.851703 0.512387 11.449438 -0.835195
0.853707 0.507429 11.464650 -0.812877
0.855711 0.506290 11.471585 -0.801379
0.857715 0.510646 11.432804 -0.761535
0.859719 0.526948 11.466359 -0.801831
0.861723 0.540759 11.477555 -0.822934
0.863727 0.559672 11.499462 -0.878627
0.865731 0.578210 11.524568 -0.873734
0.867735 0.622394 11.565531 -0.857642
0.869739 0.608377 11.593708 -0.883860
0.871743 0.611849 11.613159 -0.890105
0.873747 0.584050 11.662736 -0.840191
0.875752 0.604405 11.701327 -0.893786
0.877756 0.625595 11.705401 -0.872201
0.879760 0.626154 11.731977 -0.889619
0.881764 0.644888 11.743523 -0.891686
0.883768 0.637794 11.804529 -0.871979
0.885772 0.627823 11.819655 -0.859560
0.887776 0.641674 11.835514 -0.850303
0.889780 0.623965 11.844526 -0.822828
0.891784 0.628491 11.873020 -0.811128
0.893788 0.646352 11.922155 -0.799751
0.895792 0.640542 11.925250 -0.784180
0.897796 0.646372 11.959430 -0.773890
0.899800 0.634100 11.989348 -0.774456
0.901804 0.599390 11.986758 -0.754026
0.903808 0.590147 12.033323 -0.757906
0.905812 0.559461 12.043770 -0.787888
0.907816 0.587475 12.028379 -0.760465
0.909820 0.579684 12.071519 -0.755990
0.911824 0.578142 12.059809 -0.761152
0.913828 0.601691 12.036130 -0.778321
0.915832 0.586017 12.055320 -0.756362
0.917836 0.591326 12.072839 -0.699385
0.919840 0.601247 12.071876 -0.672592
0.921844 0.597420 12.065282 -0.657360
0.923848 0.629658 12.133283 -0.667925
0.925852 0.642163 12.168365 -0.648413
0.927856 0.644351 12.213916 -0.674704
0.929860 0.680538 12.250850 -0.684910
0.931864 0.679835 12.290905 -0.699623
0.933868 0.692335 12.310432 -0.688547
0.935872 0.685797 12.294748 -0.679179
0.937876 0.681191 12.343018 -0.656129
0.939880 0.686596 12.396155 -0.592212
0.941884 0.680627 12.459502 -0.582556
0.943888 0.738535 12.537684 -0.560879
0.945892 0.713399 12.586310 -0.547908
0.947896 0.715794 12.637882 -0.529036
0.949900 0.732228 12.662795 -0.536233
0.951904 0.706313 12.716161 -0.516240
0.953908 0.721512 12.779590 -0.504354
0.955912 0.737418 12.838605 -0.495672
0.957916 0.756052 12.857857 -0.512143
0.959920 0.739730 12.868749 -0.549149
0.961924 0.788893 12.924995 -0.558774
0.963928 0.783645 12.982170 -0.517305
0.965932 0.759776 13.035013 -0.516339
0.967936 0.764156 13.065077 -0.509598
0.969940 0.770192 13.145398 -0.496736
0.971944 0.715599 13.208856 -0.518652
0.973948 0.700088 13.275446 -0.533843
0.975952 0.704363 13.336436 -0.520659
0.977956 0.706399 13.378259 -0.540418
0.979960 0.670521 13.425434 -0.506630
0.981964 0.667592 13.489128 -0.508433
0.983968 0.673881 13.514634 -0.521905
0.985972 0.678790 13.561934 -0.518723
0.987976 0.645299 13.593273 -0.498162
0.989980 0.633214 13.647423 -0.516254
0.991984 0.650630 13.713405 -0.511010
0.993988 0.627944 13.772936 -0.506898
0.995992 0.620726 13.797640 -0.505296
0.997996 0.569467 13.850348 -0.536911
1.000000 0.550982 13.903322 -0.537841
