Time p_x p_y p_z
0.715431 -0.176023 9.442093 0.072091
0.717435 -0.176146 9.475395 0.072069
0.719439 -0.176282 9.508706 0.072054
0.721443 -0.176391 9.542010 0.072007
0.723447 -0.176491 9.575310 0.071981
0.725451 -0.176587 9.608618 0.071944
0.727455 -0.176674 9.641940 0.071887
0.729459 -0.176759 9.675253 0.071838
0.731463 -0.176860 9.708572 0.071815
0.733467 -0.176974 9.741888 0.071798
0.735471 -0.177080 9.775206 0.071765
0.737475 -0.177209 9.808511 0.071715
0.739479 -0.177340 9.841835 0.071671
0.741483 -0.177474 9.875141 0.071639
0.743487 -0.177615 9.908455 0.071603
0.745491 -0.177749 9.941786 0.071558
0.747495 -0.177883 9.975124 0.071528
0.749499 -0.178012 10.008458 0.071498
0.751503 -0.178138 10.041775 0.071475
0.753507 -0.178247 10.075118 0.071436
0.755511 -0.178349 10.108457 0.071385
0.757515 -0.178465 10.141793 0.071341
0.759519 -0.178590 10.175149 0.071293
0.761523 -0.178727 10.208507 0.071244
0.763527 -0.178860 10.241863 0.071179
0.765531 -0.178981 10.275244 0.071104
0.767535 -0.179110 10.308638 0.071039
0.769539 -0.179237 10.342024 0.070966
0.771543 -0.179363 10.375411 0.070883
0.773547 -0.179491 10.408793 0.070809
0.775551 -0.179624 10.442175 0.070749
0.777555 -0.179769 10.475547 0.070692
0.779559 -0.179925 10.508915 0.070627
0.781563 -0.180106 10.529496 0.070564
0.783567 -0.180288 10.550081 0.070485
0.785571 -0.180467 10.570672 0.070401
0.787575 -0.180653 10.591273 0.070323
0.789579 -0.180816 10.611866 0.070244
0.791583 -0.180985 10.632454 0.070165
0.793587 -0.181159 10.653034 0.070085
0.795591 -0.181329 10.673603 0.069990
0.797595 -0.181504 10.694172 0.069892
0.799599 -0.181685 10.714754 0.069793
0.801603 -0.181870 10.735332 0.069702
0.803607 -0.182053 10.755901 0.069609
0.805611 -0.182241 10.776473 0.069526
0.807615 -0.182452 10.797049 0.069436
0.809619 -0.182680 10.817629 0.069328
0.811623 -0.182895 10.838197 0.069221
0.813627 -0.183113 10.858758 0.069109
0.815631 -0.183337 10.879314 0.068973
0.817635 -0.183590 10.899876 0.068846
0.819639 -0.183844 10.920436 0.068712
0.821643 -0.184102 10.941004 0.068569
0.823647 -0.184383 10.961557 0.068405
0.825651 -0.184665 10.982102 0.068253
0.827655 -0.184945 11.002653 0.068102
0.829659 -0.185214 11.023194 0.067957
0.831663 -0.185480 11.043743 0.067814
0.833667 -0.185741 11.064297 0.067680
0.835671 -0.186000 11.084837 0.067543
0.837675 -0.186248 11.105396 0.067398
0.839679 -0.186515 11.125966 0.067242
0.841683 -0.186782 11.146529 0.067064
0.843687 -0.187044 11.167092 0.066874
0.845691 -0.187322 11.187659 0.066682
0.847695 -0.187582 11.208243 0.066485
0.849699 -0.187842 11.228822 0.066305
0.851703 -0.188118 11.249391 0.066126
0.853707 -0.188400 11.269954 0.065937
0.855711 -0.188690 11.290527 0.065749
0.857715 -0.188959 11.311100 0.065539
0.859719 -0.189228 11.331679 0.065330
0.861723 -0.189499 11.352267 0.065123
0.863727 -0.189782 11.372844 0.064947
0.865731 -0.190056 11.393420 0.064771
0.867735 -0.190310 11.414009 0.064593
0.869739 -0.190552 11.434603 0.064400
0.871743 -0.190815 11.455201 0.064209
0.873747 -0.191074 11.475807 0.064032
0.875752 -0.191334 11.496404 0.063875
0.877756 -0.191603 11.517012 0.063734
0.879760 -0.191885 11.537626 0.063604
0.881764 -0.192155 11.558239 0.063467
0.883768 -0.192441 11.578849 0.063325
0.885772 -0.192754 11.599478 0.063184
0.887776 -0.193069 11.620107 0.063040
0.889780 -0.193376 11.640715 0.062905
0.891784 -0.193687 11.661304 0.062766
0.893788 -0.193998 11.681903 0.062620
0.895792 -0.194303 11.702516 0.062464
0.897796 -0.194589 11.723136 0.062317
0.899800 -0.194857 11.743731 0.062153
0.901804 -0.195113 11.764322 0.061973
0.903808 -0.195356 11.784885 0.061798
0.905812 -0.195603 11.805457 0.061606
0.907816 -0.195871 11.826034 0.061418
0.909820 -0.196144 11.846614 0.061222
0.911824 -0.196422 11.867170 0.061017
0.913828 -0.196710 11.887723 0.060808
0.915832 -0.196995 11.908273 0.060602
0.917836 -0.197296 11.928827 0.060396
0.919840 -0.197585 11.949371 0.060196
0.921844 -0.197891 11.969923 0.060004
0.923848 -0.198206 11.990467 0.059818
0.925852 -0.198525 12.011003 0.059644
0.927856 -0.198866 12.051538 0.059474
0.929860 -0.199233 12.092069 0.059314
0.931864 -0.199611 12.132606 0.059159
0.933868 -0.199989 12.173163 0.058994
0.935872 -0.200370 12.213704 0.058807
0.937876 -0.200730 12.254235 0.058614
0.939880 -0.201099 12.294766 0.058438
0.941884 -0.201454 12.335306 0.058271
0.943888 -0.201815 12.375841 0.058088
0.945892 -0.202162 12.416373 0.057904
0.947896 -0.202507 12.456894 0.057721
0.949900 -0.202851 12.497410 0.057551
0.951904 -0.203196 12.537917 0.057387
0.953908 -0.203544 12.578411 0.057214
0.955912 -0.203889 12.618904 0.057049
0.957916 -0.204246 12.659389 0.056875
0.959920 -0.204604 12.699894 0.056702
0.961924 -0.204961 12.740406 0.056530
0.963928 -0.205323 12.780916 0.056349
0.965932 -0.205693 12.821422 0.056157
0.967936 -0.206068 12.861935 0.055965
0.969940 -0.206446 12.902448 0.055770
0.971944 -0.206824 12.942975 0.055573
0.973948 -0.207188 12.983523 0.055374
0.975952 -0.207545 13.024089 0.055173
0.977956 -0.207907 13.064665 0.054987
0.979960 -0.208268 13.105217 0.054801
0.981964 -0.208604 13.145783 0.054626
0.983968 -0.208947 13.186340 0.054460
0.985972 -0.209282 13.226920 0.054321
0.987976 -0.209604 13.267498 0.054158
0.989980 -0.209930 13.308085 0.053976
0.991984 -0.210241 13.348675 0.053798
0.993988 -0.210571 13.389269 0.053612
0.995992 -0.210909 13.429866 0.053442
0.997996 -0.211242 13.470478 0.053267
1.000000 -0.211565 13.511096 0.053088
