Time p_x p_y 
0.867735 -0.169920 -0.805395 
0.869739 -0.170322 -0.803888 
0.871743 -0.170724 -0.826486 
0.873747 -0.171137 -0.839561 
0.875752 -0.171557 -0.854889 
0.877756 -0.171985 -0.842385 
0.879760 -0.172406 -0.805636 
0.881764 -0.172809 -0.808706 
0.883768 -0.173213 -0.809930 
0.885772 -0.173618 -0.813527 
0.887776 -0.174025 -0.785636 
0.889780 -0.174418 -0.791931 
0.891784 -0.174814 -0.784917 
0.893788 -0.175206 -0.807392 
0.895792 -0.175610 -0.790978 
0.897796 -0.176005 -0.818854 
0.899800 -0.176415 -0.808680 
0.901804 -0.176819 -0.829684 
0.903808 -0.177234 -0.759928 
0.905812 -0.177614 -0.754393 
0.907816 -0.177991 -0.772595 
0.909820 -0.178377 -0.777128 
0.911824 -0.178766 -0.748656 
0.913828 -0.179140 -0.748355 
0.915832 -0.179514 -0.783332 
0.917836 -0.179906 -0.765380 
0.919840 -0.180289 -0.769873 
0.921844 -0.180674 -0.790976 
0.923848 -0.181069 -0.759652 
0.925852 -0.181449 -0.755304 
0.927856 -0.181827 -0.779199 
0.929860 -0.182216 -0.742293 
0.931864 -0.182587 -0.717515 
0.933868 -0.182946 -0.746965 
0.935872 -0.183320 -0.741921 
0.937876 -0.183691 -0.724512 
0.939880 -0.184053 -0.741551 
0.941884 -0.184424 -0.732526 
0.943888 -0.184790 -0.735287 
0.945892 -0.185157 -0.740114 
0.947896 -0.185528 -0.763361 
0.949900 -0.185909 -0.733325 
0.951904 -0.186276 -0.722632 
0.953908 -0.186637 -0.723598 
0.955912 -0.186999 -0.719179 
0.957916 -0.187359 -0.687478 
0.959920 -0.187702 -0.692672 
0.961924 -0.188049 -0.708170 
0.963928 -0.188403 -0.699232 
0.965932 -0.188752 -0.679043 
0.967936 -0.189092 -0.687696 
0.969940 -0.189436 -0.716461 
0.971944 -0.189794 -0.754849 
0.973948 -0.190171 -0.780230 
0.975952 -0.190562 -0.745967 
0.977956 -0.190934 -0.723901 
0.979960 -0.191296 -0.750139 
0.981964 -0.191672 -0.754417 
0.983968 -0.192049 -0.747537 
0.985972 -0.192422 -0.762394 
0.987976 -0.192804 -0.755073 
0.989980 -0.193181 -0.771172 
0.991984 -0.193567 -0.796108 
0.993988 -0.193965 -0.817641 
0.995992 -0.194374 -0.804022 
0.997996 -0.194776 -0.813747 
1.000000 -0.195183 -0.822399 
