Time p_x p_y p_z
0.587174 -0.049971 5.821323 -0.228590
0.589178 -0.049723 5.832489 -0.229015
0.591182 -0.049477 5.843632 -0.229435
0.593186 -0.049231 5.854780 -0.229850
0.595190 -0.048979 5.865903 -0.230247
0.597194 -0.048724 5.877052 -0.230639
0.599198 -0.048488 5.888177 -0.231032
0.601202 -0.048233 5.899331 -0.231425
0.603206 -0.047976 5.910473 -0.231828
0.605210 -0.047713 5.921615 -0.232216
0.607214 -0.047446 6.671729 -0.232580
0.609218 -0.047168 7.421867 -0.232950
0.611222 -0.046886 7.459504 -0.233310
0.613226 -0.046606 7.497141 -0.233660
0.615230 -0.046323 7.534768 -0.234020
0.617234 -0.046038 7.572392 -0.234371
0.619238 -0.045759 7.610017 -0.234728
0.621242 -0.045477 7.647625 -0.235068
0.623246 -0.045208 7.685227 -0.235405
0.625251 -0.044958 7.722823 -0.235741
0.627255 -0.044700 7.760418 -0.236068
0.629259 -0.044442 7.798015 -0.236384
0.631263 -0.044189 7.835600 -0.236717
0.633267 -0.043932 7.873164 -0.237035
0.635271 -0.043679 7.910732 -0.237345
0.637275 -0.043443 7.948293 -0.237645
0.639279 -0.043233 7.985866 -0.237954
0.641283 -0.043001 8.023432 -0.238239
0.643287 -0.042773 8.061000 -0.238525
0.645291 -0.042561 8.098574 -0.238822
0.647295 -0.042357 8.136146 -0.239110
0.649299 -0.042159 8.173708 -0.239395
0.651303 -0.041965 8.211288 -0.239693
0.653307 -0.041780 8.248864 -0.239991
0.655311 -0.041608 8.286427 -0.240294
0.657315 -0.041434 8.324007 -0.240608
0.659319 -0.041268 8.361590 -0.240917
0.661323 -0.041098 8.399174 -0.241239
0.663327 -0.040940 8.436751 -0.241556
0.665331 -0.040786 8.474328 -0.241868
0.667335 -0.040652 8.511893 -0.242159
0.669339 -0.040532 8.549455 -0.242474
0.671343 -0.040438 8.587013 -0.242788
0.673347 -0.040356 8.624571 -0.243102
0.675351 -0.040273 8.662109 -0.243416
0.677355 -0.040187 8.699657 -0.243712
0.679359 -0.040097 8.737227 -0.244009
0.681363 -0.039990 8.774806 -0.244305
0.683367 -0.039881 8.812376 -0.244620
0.685371 -0.039757 8.849931 -0.244959
0.687375 -0.039638 8.887483 -0.245300
0.689379 -0.039511 8.925064 -0.245652
0.691383 -0.039398 8.958490 -0.245999
0.693387 -0.039294 8.991920 -0.246356
0.695391 -0.039206 9.025353 -0.246708
