Iteration P0_1 P0_2 P0_3 P0_4 P0_5 P0_6 P0_7 P0_8 P0_9 P0_10 P0_11 P0_12 P0_13 P0_14 P0_15 P0_16 P0_17 P0_18 P0_19 P0_20 P0_21 
71 2.658017 1.018004 2.579147 0.558582 1.117530 1.698712 1.484965 0.664653 0.089019 1.582791 0.646471 1.527717 0.356564 0.192435 1.616402 0.327855 0.744998 0.796858 -0.041265 0.141442 1.216561 
72 2.659063 1.019136 2.580372 0.559645 1.118674 1.699718 1.485560 0.665298 0.089575 1.583071 0.647136 1.528441 0.357175 0.192737 1.616725 0.328429 0.745617 0.797366 -0.041004 0.141721 1.216791 
73 2.660077 1.020236 2.581565 0.560681 1.119792 1.700707 1.486137 0.665926 0.090117 1.583343 0.647781 1.529145 0.357773 0.193030 1.617039 0.328987 0.746221 0.797867 -0.040749 0.141995 1.217019 
74 2.661060 1.021304 2.582725 0.561690 1.120883 1.701678 1.486696 0.666536 0.090646 1.583606 0.648408 1.529830 0.358358 0.193315 1.617345 0.329531 0.746811 0.798360 -0.040501 0.142263 1.217244 
75 2.662014 1.022342 2.583855 0.562673 1.121948 1.702633 1.487239 0.667129 0.091163 1.583861 0.649017 1.530497 0.358929 0.193592 1.617643 0.330061 0.747387 0.798844 -0.040258 0.142524 1.217465 
76 2.662940 1.023351 2.584954 0.563630 1.122988 1.703569 1.487765 0.667706 0.091667 1.584109 0.649609 1.531146 0.359488 0.193861 1.617933 0.330577 0.747949 0.799321 -0.040022 0.142780 1.217683 
77 2.663838 1.024331 2.586023 0.564562 1.124002 1.704488 1.488276 0.668267 0.092159 1.584349 0.650184 1.531779 0.360035 0.194122 1.618215 0.331079 0.748498 0.799789 -0.039791 0.143030 1.217897 
78 2.664710 1.025285 2.587065 0.565470 1.124992 1.705390 1.488773 0.668812 0.092639 1.584581 0.650742 1.532394 0.360568 0.194376 1.618489 0.331569 0.749034 0.800248 -0.039567 0.143274 1.218107 
79 2.665557 1.026211 2.588079 0.566355 1.125958 1.706273 1.489254 0.669343 0.093107 1.584807 0.651286 1.532994 0.361090 0.194622 1.618757 0.332045 0.749557 0.800699 -0.039348 0.143513 1.218314 
80 2.666379 1.027113 2.589066 0.567217 1.126901 1.707139 1.489722 0.669860 0.093564 1.585027 0.651814 1.533578 0.361599 0.194862 1.619017 0.332510 0.750067 0.801141 -0.039134 0.143746 1.218517 
81 2.667179 1.027989 2.590028 0.568056 1.127821 1.707987 1.490177 0.670362 0.094010 1.585240 0.652327 1.534146 0.362097 0.195095 1.619270 0.332962 0.750566 0.801575 -0.038926 0.143973 1.218717 
82 2.667955 1.028842 2.590964 0.568874 1.128718 1.708818 1.490619 0.670851 0.094444 1.585447 0.652826 1.534700 0.362583 0.195322 1.619517 0.333403 0.751052 0.802000 -0.038722 0.144196 1.218912 
83 2.668710 1.029672 2.591876 0.569671 1.129594 1.709631 1.491048 0.671327 0.094868 1.585647 0.653312 1.535240 0.363058 0.195543 1.619758 0.333832 0.751526 0.802417 -0.038524 0.144413 1.219104 
84 2.669443 1.030479 2.592765 0.570448 1.130448 1.710427 1.491465 0.671790 0.095282 1.585843 0.653785 1.535765 0.363521 0.195757 1.619992 0.334250 0.751990 0.802825 -0.038331 0.144625 1.219292 
85 2.670156 1.031265 2.593630 0.571204 1.131282 1.711206 1.491871 0.672241 0.095686 1.586032 0.654244 1.536277 0.363974 0.195966 1.620220 0.334657 0.752441 0.803224 -0.038143 0.144832 1.219476 
86 2.670850 1.032030 2.594473 0.571942 1.132095 1.711968 1.492265 0.672680 0.096079 1.586217 0.654692 1.536776 0.364416 0.196169 1.620442 0.335054 0.752882 0.803615 -0.037959 0.145034 1.219656 
87 2.671524 1.032774 2.595294 0.572660 1.132889 1.712713 1.492649 0.673108 0.096463 1.586396 0.655127 1.537262 0.364847 0.196366 1.620658 0.335441 0.753312 0.803998 -0.037781 0.145231 1.219833 
88 2.672180 1.033499 2.596095 0.573360 1.133663 1.713442 1.493022 0.673524 0.096837 1.586570 0.655551 1.537735 0.365268 0.196559 1.620869 0.335818 0.753732 0.804372 -0.037606 0.145424 1.220006 
89 2.672818 1.034204 2.596874 0.574043 1.134418 1.714155 1.493385 0.673930 0.097202 1.586739 0.655963 1.538197 0.365679 0.196746 1.621074 0.336185 0.754142 0.804738 -0.037436 0.145612 1.220175 
90 2.673439 1.034891 2.597634 0.574707 1.135154 1.714851 1.493738 0.674324 0.097558 1.586904 0.656364 1.538646 0.366080 0.196928 1.621274 0.336543 0.754541 0.805096 -0.037270 0.145795 1.220341 
91 2.674043 1.035560 2.598375 0.575355 1.135873 1.715532 1.494082 0.674709 0.097906 1.587064 0.656755 1.539085 0.366472 0.197105 1.621469 0.336892 0.754931 0.805446 -0.037109 0.145974 1.220502 
92 2.674631 1.036212 2.599096 0.575987 1.136574 1.716197 1.494416 0.675084 0.098244 1.587220 0.657136 1.539512 0.366854 0.197278 1.621659 0.337231 0.755311 0.805789 -0.036951 0.146149 1.220661 
93 2.675203 1.036847 2.599799 0.576603 1.137258 1.716847 1.494741 0.675448 0.098574 1.587372 0.657506 1.539928 0.367227 0.197446 1.621845 0.337563 0.755682 0.806123 -0.036797 0.146319 1.220816 
94 2.675760 1.037465 2.600485 0.577203 1.137925 1.717482 1.495058 0.675804 0.098896 1.587519 0.657867 1.540333 0.367590 0.197610 1.622025 0.337885 0.756044 0.806450 -0.036647 0.146486 1.220967 
95 2.676302 1.038067 2.601153 0.577787 1.138575 1.718103 1.495366 0.676150 0.099210 1.587663 0.658219 1.540729 0.367945 0.197769 1.622201 0.338200 0.756396 0.806770 -0.036501 0.146648 1.221115 
96 2.676830 1.038653 2.601804 0.578358 1.139210 1.718708 1.495666 0.676488 0.099517 1.587803 0.658561 1.541114 0.368292 0.197925 1.622372 0.338506 0.756741 0.807082 -0.036359 0.146807 1.221260 
97 2.677345 1.039225 2.602439 0.578913 1.139829 1.719300 1.495959 0.676816 0.099815 1.587939 0.658894 1.541490 0.368630 0.198076 1.622539 0.338805 0.757076 0.807387 -0.036220 0.146961 1.221401 
98 2.677845 1.039782 2.603057 0.579455 1.140432 1.719878 1.496243 0.677137 0.100107 1.588071 0.659219 1.541856 0.368960 0.198223 1.622702 0.339097 0.757404 0.807685 -0.036085 0.147112 1.221539 
99 2.678333 1.040324 2.603660 0.579983 1.141021 1.720443 1.496520 0.677449 0.100391 1.588200 0.659536 1.542213 0.369281 0.198367 1.622861 0.339380 0.757723 0.807976 -0.035953 0.147259 1.221674 
100 2.678808 1.040853 2.604248 0.580498 1.141596 1.720994 1.496790 0.677753 0.100668 1.588326 0.659844 1.542560 0.369595 0.198507 1.623015 0.339657 0.758035 0.808260 -0.035824 0.147403 1.221806 
101 2.679270 1.041368 2.604821 0.581000 1.142156 1.721532 1.497053 0.678049 0.100938 1.588448 0.660144 1.542900 0.369901 0.198643 1.623166 0.339927 0.758339 0.808537 -0.035699 0.147543 1.221934 
102 2.679721 1.041870 2.605380 0.581489 1.142702 1.722057 1.497309 0.678338 0.101201 1.588567 0.660437 1.543230 0.370200 0.198776 1.623313 0.340190 0.758636 0.808808 -0.035576 0.147679 1.222060 
103 2.680160 1.042359 2.605925 0.581966 1.143235 1.722569 1.497558 0.678620 0.101458 1.588683 0.660722 1.543552 0.370491 0.198905 1.623456 0.340446 0.758925 0.809073 -0.035457 0.147812 1.222183 
104 2.680588 1.042836 2.606456 0.582431 1.143755 1.723070 1.497801 0.678894 0.101708 1.588796 0.661000 1.543867 0.370776 0.199031 1.623596 0.340696 0.759207 0.809331 -0.035341 0.147942 1.222302 
